single_q,double_q,dashes,braces,spaces,percentages,semicolons,angle_brackets,special_chars,path_length,body_length,badwords_count,Cluster
0,0,0,0,3,0,0,0,0,80,0,0,1
0,0,0,0,0,0,0,0,0,61,0,0,1
0,0,0,0,0,0,0,0,0,63,0,0,1
0,0,0,0,0,0,0,0,0,8,48,1,1
0,0,0,0,0,0,0,0,0,36,0,0,1
0,0,0,0,7,0,0,0,0,13,139,0,0
0,0,0,0,0,0,0,0,0,77,0,0,1
0,0,0,0,0,0,0,0,0,12,41,0,1
0,0,0,0,0,0,0,0,0,64,0,0,1
0,0,0,0,0,0,0,0,0,64,0,0,1
0,0,0,0,3,0,0,0,0,76,0,0,1
0,0,0,0,0,0,0,0,0,41,0,0,1
0,0,0,0,0,0,0,0,0,32,0,0,1
0,0,0,0,7,0,0,0,0,13,135,0,0
0,0,0,0,0,0,0,0,0,8,44,1,1
0,0,0,0,0,0,0,0,0,55,0,0,1
0,0,0,0,0,0,0,0,0,12,37,0,1
0,0,0,0,0,0,0,0,0,42,0,0,1
0,0,0,0,3,0,0,0,0,89,0,0,1
0,0,0,0,0,0,0,0,0,44,0,0,1
0,0,0,0,0,0,0,0,0,8,57,1,1
0,0,0,0,0,0,0,0,0,60,0,0,1
0,0,0,0,0,0,0,0,0,45,0,0,1
0,0,0,0,7,0,0,0,0,13,148,0,0
0,0,0,0,0,0,0,0,0,58,0,0,1
0,0,0,0,0,0,0,0,0,12,50,0,1
0,0,0,0,0,0,0,0,0,45,0,0,1
0,0,0,0,0,0,0,0,0,40,0,0,1
0,0,0,0,3,0,0,0,0,92,0,0,1
0,0,0,0,0,0,0,0,0,8,60,1,1
0,0,0,0,7,0,0,0,0,13,151,0,0
0,0,0,0,0,0,0,0,0,73,0,0,1
0,0,0,0,0,0,0,0,0,48,0,0,1
0,0,0,0,0,0,0,0,0,54,0,0,1
0,0,0,0,0,0,0,0,0,12,53,0,1
0,0,0,0,0,0,0,0,0,41,0,0,1
0,0,0,0,0,0,0,0,0,53,0,0,1
0,0,0,0,0,0,0,0,0,8,50,1,1
0,0,0,0,7,0,0,0,0,13,143,0,0
0,0,0,0,0,0,0,0,0,76,0,0,1
0,0,0,0,0,0,0,0,0,67,0,0,1
0,0,0,0,0,0,0,0,0,54,0,0,1
0,0,0,0,0,0,0,0,0,56,0,0,1
0,0,0,0,0,0,0,0,0,8,53,1,1
0,0,0,0,7,0,0,0,0,13,146,0,0
0,0,0,0,0,0,0,0,0,54,0,0,1
0,0,0,0,0,0,0,0,0,70,0,0,1
0,0,0,0,0,0,0,0,0,57,0,0,1
0,0,0,0,0,0,0,0,0,8,49,1,1
0,0,0,0,7,0,0,0,0,13,142,0,0
0,0,0,0,0,0,0,0,0,57,0,0,1
0,0,0,0,0,0,0,0,0,8,62,1,1
0,0,0,0,7,0,0,0,0,13,155,0,0
0,0,0,0,0,0,0,0,0,53,0,0,1
0,0,0,0,0,0,0,0,0,8,65,1,1
0,0,0,0,0,0,0,0,0,66,0,0,1
0,0,0,0,7,0,0,0,0,13,158,0,0
0,0,0,0,0,0,0,0,0,8,43,1,1
0,0,0,0,0,0,0,0,0,69,0,0,1
0,0,0,0,7,0,0,0,0,13,136,0,0
0,0,0,0,0,0,0,0,0,8,46,1,1
0,0,0,0,7,0,0,0,0,13,139,0,0
0,0,0,0,0,0,0,0,0,8,42,1,1
0,0,0,0,7,0,0,0,0,13,135,0,0
0,0,0,0,0,0,0,0,0,8,55,1,1
0,0,0,0,7,0,0,0,0,13,148,0,0
0,0,0,0,0,0,0,0,0,8,58,1,1
0,0,0,0,7,0,0,0,0,13,151,0,0
0,0,0,0,2,0,0,0,0,13,99,0,0
0,0,0,0,2,0,0,0,0,13,102,0,0
0,0,0,0,2,0,0,0,0,13,98,0,0
0,0,0,0,2,0,0,0,0,13,111,0,0
0,0,0,0,2,0,0,0,0,13,114,0,0
0,0,0,0,2,0,0,0,0,13,92,0,0
0,0,0,0,2,0,0,0,0,13,95,0,0
0,0,0,0,2,0,0,0,0,13,91,0,0
0,0,0,0,2,0,0,0,0,13,104,0,0
0,0,0,0,2,0,0,0,0,13,107,0,0
0,0,0,0,7,0,0,0,0,13,146,0,0
0,0,0,0,7,0,0,0,0,13,149,0,0
0,0,0,0,7,0,0,0,0,13,145,0,0
0,0,0,0,7,0,0,0,0,13,158,0,0
0,0,0,0,7,0,0,0,0,13,161,0,0
0,0,0,0,7,0,0,0,0,13,139,0,0
0,0,0,0,7,0,0,0,0,13,142,0,0
0,0,0,0,7,0,0,0,0,13,138,0,0
0,0,0,0,7,0,0,0,0,13,151,0,0
0,0,0,0,7,0,0,0,0,13,154,0,0
0,0,0,0,5,0,0,0,0,13,138,0,0
0,0,0,0,5,0,0,0,0,13,141,0,0
0,0,0,0,5,0,0,0,0,13,137,0,0
0,0,0,0,5,0,0,0,0,13,150,0,0
0,0,0,0,5,0,0,0,0,13,153,0,0
0,0,0,0,5,0,0,0,0,13,131,0,0
0,0,0,0,5,0,0,0,0,13,134,0,0
0,0,0,0,5,0,0,0,0,13,130,0,0
0,0,0,0,5,0,0,0,0,13,143,0,0
0,0,0,0,5,0,0,0,0,13,146,0,0
0,0,0,0,0,0,0,0,0,16,0,0,1
0,0,0,0,0,0,0,0,0,4,0,0,1
0,0,0,0,0,0,0,0,0,16,0,0,1
0,0,0,0,0,0,0,0,0,31,0,0,1
0,0,0,0,0,0,0,0,0,18,0,0,1
0,0,0,0,0,0,0,0,0,30,0,0,1
0,0,0,0,0,0,0,0,0,16,0,0,1
0,0,0,0,0,0,0,0,0,13,0,0,1
0,0,0,0,0,0,0,0,0,13,0,0,1
0,0,0,0,0,0,0,0,0,14,0,0,1
0,0,0,0,0,0,0,0,0,18,0,0,1
0,0,0,0,0,0,0,0,0,17,0,0,1
